tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN455017700;N455017700;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN455017700,N455017700,1,OdataApi)
CN870022_03ANW;N870022_03ANW;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870022_03ANW,N870022_03ANW,1,OdataApi)
CALIAS_2260711_E;ALIAS_2260711_E;EAST_MIDLANDS;1;20;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_2260711_E,ALIAS_2260711_E,1,OdataApi)
CALIAS_2187802_E;ALIAS_2187802_E;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_2187802_E,ALIAS_2187802_E,1,OdataApi)
CN12G3527_HB10;N12G3527_HB10;EAST_MIDLANDS;1;11;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12G3527_HB10,N12G3527_HB10,1,OdataApi)
CN14G0036_IS303;N14G0036_IS303;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14G0036_IS303,N14G0036_IS303,1,OdataApi)
CALIAS_643968_E;ALIAS_643968_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_643968_E,ALIAS_643968_E,1,OdataApi)
CN14G0036_CB230;N14G0036_CB230;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN14G0036_CB230,N14G0036_CB230,1,OdataApi)
CALIAS_158489_R;ALIAS_158489_R;EAST_MIDLANDS;1;16;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_158489_R,ALIAS_158489_R,1,OdataApi)
CN12G3527_HB03;N12G3527_HB03;EAST_MIDLANDS;1;11;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN12G3527_HB03,N12G3527_HB03,1,OdataApi)
CN00G0039_IS304;N00G0039_IS304;EAST_MIDLANDS;1;10;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0039_IS304,N00G0039_IS304,1,OdataApi)
CN12P2524_ANC3;N12P2524_ANC3;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN12P2524_ANC3,N12P2524_ANC3,1,OdataApi)
CN14GB036_ANB3;N14GB036_ANB3;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14GB036_ANB3,N14GB036_ANB3,1,OdataApi)
CN870022_04ANL;N870022_04ANL;EAST_MIDLANDS;1;15;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN870022_04ANL,N870022_04ANL,1,OdataApi)
CN52P7466_7084;N52P7466_7084;EAST_MIDLANDS;1;17;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN52P7466_7084,N52P7466_7084,1,OdataApi)
CN12P2516_ANA7;N12P2516_ANA7;EAST_MIDLANDS;1;13;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN12P2516_ANA7,N12P2516_ANA7,1,OdataApi)
CN42537_7685;N42537_7685;EAST_MIDLANDS;1;19;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN42537_7685,N42537_7685,1,OdataApi)
CALIAS_2187896_E;ALIAS_2187896_E;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_2187896_E,ALIAS_2187896_E,1,OdataApi)
CN14P2053_ANA7;N14P2053_ANA7;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P2053_ANA7,N14P2053_ANA7,1,OdataApi)
CALIAS_500703_E;ALIAS_500703_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_500703_E,ALIAS_500703_E,1,OdataApi)
CN14P2064_7684;N14P2064_7684;EAST_MIDLANDS;1;18;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN14P2064_7684,N14P2064_7684,1,OdataApi)
CS1121574_SCADA_MODE;S1121574_SCADA_MODE;EAST_MIDLANDS;1;12;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS1121574_SCADA_MODE,S1121574_SCADA_MODE,1,OdataApi)
CN870005_HB65;N870005_HB65;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN870005_HB65,N870005_HB65,1,OdataApi)
