tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CALIAS_449533_r;ALIAS_449533_r;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_449533_r,ALIAS_449533_r,1,OdataApi)
CALIAS_1240669_E;ALIAS_1240669_E;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_1240669_E,ALIAS_1240669_E,1,OdataApi)
CS22867_SCADA_MODE;S22867_SCADA_MODE;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS22867_SCADA_MODE,S22867_SCADA_MODE,1,OdataApi)
CALIAS_449509_r;ALIAS_449509_r;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_449509_r,ALIAS_449509_r,1,OdataApi)
CN00G0041_ANA0;N00G0041_ANA0;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN00G0041_ANA0,N00G0041_ANA0,1,OdataApi)
CN00G0038_CB105;N00G0038_CB105;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_CB105,N00G0038_CB105,1,OdataApi)
CS23200_LOCAL_MODE;S23200_LOCAL_MODE;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS23200_LOCAL_MODE,S23200_LOCAL_MODE,1,OdataApi)
CN23G1126_HB09;N23G1126_HB09;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23G1126_HB09,N23G1126_HB09,1,OdataApi)
CN00G0038_IS226;N00G0038_IS226;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_IS226,N00G0038_IS226,1,OdataApi)
CN23P0125_SDT01;N23P0125_SDT01;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23P0125_SDT01,N23P0125_SDT01,1,OdataApi)
CN51P0079_CB02;N51P0079_CB02;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN51P0079_CB02,N51P0079_CB02,1,OdataApi)
CALIAS_37324_m;ALIAS_37324_m;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_37324_m,ALIAS_37324_m,1,OdataApi)
CS22907_ANM_MW;S22907_ANM_MW;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS22907_ANM_MW,S22907_ANM_MW,1,OdataApi)
CN00G0038_132_IS104;N00G0038_132_IS104;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_132_IS104,N00G0038_132_IS104,1,OdataApi)
CALIAS_449358_r;ALIAS_449358_r;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_449358_r,ALIAS_449358_r,1,OdataApi)
CN00G0038_IS386;N00G0038_IS386;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0038_IS386,N00G0038_IS386,1,OdataApi)
CALIAS_2318344_E;ALIAS_2318344_E;EAST_MIDLANDS;1;7;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_2318344_E,ALIAS_2318344_E,1,OdataApi)
CS22930_ANM_MW;S22930_ANM_MW;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS22930_ANM_MW,S22930_ANM_MW,1,OdataApi)
CN23P0090_CB18;N23P0090_CB18;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23P0090_CB18,N23P0090_CB18,1,OdataApi)
CN890044_2L5ANV;N890044_2L5ANV;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN890044_2L5ANV,N890044_2L5ANV,1,OdataApi)
CN51P0057_ANC3;N51P0057_ANC3;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN51P0057_ANC3,N51P0057_ANC3,1,OdataApi)
CN23G1126_HB12;N23G1126_HB12;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23G1126_HB12,N23G1126_HB12,1,OdataApi)
CN23P0124_CB02;N23P0124_CB02;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23P0124_CB02,N23P0124_CB02,1,OdataApi)
CN890044_1S0ANW_WBUR;N890044_1S0ANW;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoTWOOData_Data_RealQTimeTag(CN890044_1S0ANW_WBUR,N890044_1S0ANW_WBUR,N890044_1S0ANW_STAY,1,OdataApi)
CN23P0090_ANB6;N23P0090_ANB6;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0090_ANB6,N23P0090_ANB6,1,OdataApi)
CALIAS_1689301_E;ALIAS_1689301_E;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_1689301_E,ALIAS_1689301_E,1,OdataApi)
CS22889_COMMS_FAIL;S22889_COMMS_FAIL;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS22889_COMMS_FAIL,S22889_COMMS_FAIL,1,OdataApi)
