tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN33PM042_CB2051;N33PM042_CB2051;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33PM042_CB2051,N33PM042_CB2051,1,OdataApi)
CN33PM044_CB02;N33PM044_CB02;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33PM044_CB02,N33PM044_CB02,1,OdataApi)
CALIAS_3941985_E;ALIAS_3941985_E;EAST_MIDLANDS;1;4;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_3941985_E,ALIAS_3941985_E,1,OdataApi)
CALIAS_4700013_E;ALIAS_4700013_E;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_4700013_E,ALIAS_4700013_E,1,OdataApi)
CN32PM096_CB99;N32PM096_CB99;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM096_CB99,N32PM096_CB99,1,OdataApi)
CN33G3039_7696;N33G3039_7696;EAST_MIDLANDS;1;12;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33G3039_7696,N33G3039_7696,1,OdataApi)
CS1123075_LOCAL_MODE;S1123075_LOCAL_MODE;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS1123075_LOCAL_MODE,S1123075_LOCAL_MODE,1,OdataApi)
CALIAS_69750_E;ALIAS_69750_E;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_69750_E,ALIAS_69750_E,1,OdataApi)
CN33PM041_CB02;N33PM041_CB02;EAST_MIDLANDS;1;7;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN33PM041_CB02,N33PM041_CB02,1,OdataApi)
CN33PM045_CB01_ENDE;N33PM045_CB01;EAST_MIDLANDS;1;8;Data_StateQTimeTag;global;;;ICCPtoTWOOData_Data_StateQTimeTag(CN33PM045_CB01_ENDE,N33PM045_CB01_ENDE,N33PM045_CB01_GREN,1,OdataApi)
CN32PM387_CB02;N32PM387_CB02;EAST_MIDLANDS;1;1;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN32PM387_CB02,N32PM387_CB02,1,OdataApi)
CN33PM033_ANA0;N33PM033_ANA0;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33PM033_ANA0,N33PM033_ANA0,1,OdataApi)
CN33PM499_ANA1;N33PM499_ANA1;EAST_MIDLANDS;1;14;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN33PM499_ANA1,N33PM499_ANA1,1,OdataApi)
CN00G0023_IS104;N00G0023_IS104;EAST_MIDLANDS;1;2;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN00G0023_IS104,N00G0023_IS104,1,OdataApi)
CALIAS_533433_q;ALIAS_533433_q;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CALIAS_533433_q,ALIAS_533433_q,1,OdataApi)
